Symbol|Name|LastSale|MarketCap|ADR TSO|IPOyear|Sector|Industry|Summary Quote,
CXP|Columbia Property Trust, Inc.|21.25|2507164143.75|n/a|2013|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cxp,
STK|Columbia Seligman Premium Technology Growth Fund, Inc|18.85|294597243.85|n/a|2009|n/a|n/a|https://www.nasdaq.com/symbol/stk,
CCZ|Comcast Corporation|48.8|0|n/a|n/a|Consumer Services|Television Services|https://www.nasdaq.com/symbol/ccz,
CMA|Comerica Incorporated|82.31|13176485066.88|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/cma,
FIX|Comfort Systems USA, Inc.|46.93|1743441146.46|n/a|1997|Capital Goods|Engineering & Construction|https://www.nasdaq.com/symbol/fix,
CMC|Commercial Metals Company|17.05|2005748581.65|n/a|n/a|Basic Industries|Steel/Iron Ore|https://www.nasdaq.com/symbol/cmc,
CBU|Community Bank System, Inc.|60.91|3122124780|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/cbu,
CYH|Community Health Systems, Inc.|3.6|418623890.4|n/a|2000|Health Care|Hospital/Nursing Management|https://www.nasdaq.com/symbol/cyh,
CHCT|Community Healthcare Trust Incorporated|32.07|594379030.14|n/a|2015|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/chct,
CIG|Comp En De Mn Cemig ADS|3.72|5426559675.72|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/cig,
CIG.C|Comp En De Mn Cemig ADS|n/a|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cig.c,
CBD|Companhia Brasileira de Distribuicao|25.87|6897264624.77|n/a|1997|Consumer Services|Food Chains|https://www.nasdaq.com/symbol/cbd,
SBS|Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp|11.51|7867198592.19|n/a|2002|Public Utilities|Water Supply|https://www.nasdaq.com/symbol/sbs,
ELP|Companhia Paranaense de Energia (COPEL)|9.44|2583306740|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/elp,
CCU|Compania Cervecerias Unidas, S.A.|27.33|5049256745.88|n/a|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/ccu,
CODI|Compass Diversified Holdings|14.65|877535000|n/a|2006|Consumer Durables|Home Furnishings|https://www.nasdaq.com/symbol/codi,
CODI^A|Compass Diversified Holdings|19.3192|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/codi^a,
CODI^B|Compass Diversified Holdings|19.9799|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/codi^b,
CMP|Compass Minerals International, Inc.|50.57|1711876979.67|n/a|2003|Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|https://www.nasdaq.com/symbol/cmp,
CRK|Comstock Resources, Inc.|5.87|621463145.68|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/crk,
CAG|ConAgra Brands, Inc.|21.29|10339317881.94|n/a|n/a|Consumer Non-Durables|Packaged Foods|https://www.nasdaq.com/symbol/cag,
CXO|Concho Resources Inc.|115.99|23227020118.05|n/a|2007|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/cxo,
CCM|Concord Medical Services Holdings Limited|3.51|152207611.92|n/a|2009|Health Care|Medical/Nursing Services|https://www.nasdaq.com/symbol/ccm,
CNDT|Conduent Incorporated|12.71|2685510910.51|n/a|2016|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/cndt,
COP|ConocoPhillips|65.35|75233657380.8|n/a|n/a|Energy|Integrated oil Companies|https://www.nasdaq.com/symbol/cop,
CCR|CONSOL Coal Resources LP|18.3|503657687.4|n/a|2015|Energy|Coal Mining|https://www.nasdaq.com/symbol/ccr,
ED|Consolidated Edison Inc|75.59|23544502134.26|n/a|n/a|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/ed,
STZ|Constellation Brands Inc|167.9|31880298097.9|n/a|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/stz,
STZ.B|Constellation Brands Inc|n/a|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/stz.b,
CSTM|Constellium N.V.|8.08|1088322179.12|n/a|2013|Basic Industries|Metal Fabrications|https://www.nasdaq.com/symbol/cstm,
TCS|Container Store (The)|6.83|334077681.91|n/a|2013|Consumer Services|Home Furnishings|https://www.nasdaq.com/symbol/tcs,
CBPX|Continental Building Products, Inc.|24.95|919206278.25|n/a|2014|Capital Goods|Building Materials|https://www.nasdaq.com/symbol/cbpx,
CLR|Continental Resources, Inc.|47.07|17699089547.43|n/a|2007|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/clr,
VLRS|Controladora Vuela Compania de Aviacion, S.A.B. de C.V.|7.49|747138802.41|n/a|2013|Transportation|Air Freight/Delivery Services|https://www.nasdaq.com/symbol/vlrs,
CTRA|Contura Energy, Inc.|64.54|1238310844.26|n/a|n/a|Energy|Coal Mining|https://www.nasdaq.com/symbol/ctra,
CTB|Cooper Tire & Rubber Company|34.18|1711439460.78|n/a|n/a|Consumer Durables|Automotive Aftermarket|https://www.nasdaq.com/symbol/ctb,
CPS|Cooper-Standard Holdings Inc.|74.65|1326879040.85|n/a|n/a|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/cps,
CTK|CooTek (Cayman) Inc.|11.07|707557138.38|n/a|2018|Technology|EDP Services|https://www.nasdaq.com/symbol/ctk,
CPA|Copa Holdings, S.A.|99.43|4195482556.77|n/a|2005|Transportation|Air Freight/Delivery Services|https://www.nasdaq.com/symbol/cpa,
CLB|Core Laboratories N.V.|67.03|2964115598.93|n/a|1995|Energy|Oilfield Services/Equipment|https://www.nasdaq.com/symbol/clb,
CXW|CoreCivic, Inc.|19.24|2283428769.96|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cxw,
CLGX|CoreLogic, Inc.|36.37|2930020409.31|n/a|n/a|Technology|EDP Services|https://www.nasdaq.com/symbol/clgx,
CORR|CorEnergy Infrastructure Trust, Inc.|35.75|427187403.5|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/corr,
CORR^A|CorEnergy Infrastructure Trust, Inc.|24.68|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/corr^a,
CPLG|CorePoint Lodging Inc.|12.03|717614402.1|n/a|2018|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cplg,
COR|CoreSite Realty Corporation|96.08|3525994666.32|n/a|2010|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cor,
GLW|Corning Incorporated|30.36|24300116372.4|n/a|n/a|Basic Industries|Telecommunications Equipment|https://www.nasdaq.com/symbol/glw,
CAAP|Corporacion America Airports SA|6.99|1118555611.38|n/a|2018|Transportation|Aerospace|https://www.nasdaq.com/symbol/caap,
GYC|Corporate Asset Backed Corp CABCO|21.14|0|n/a|n/a|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/gyc,
OFC|Corporate Office Properties Trust|24.15|2628848636.4|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/ofc,
CZZ|Cosan Limited|10.51|2571541733.12|n/a|n/a|Consumer Non-Durables|Specialty Foods|https://www.nasdaq.com/symbol/czz,
CMRE|Costamare Inc.|5.02|559381531.68|n/a|2010|Transportation|Marine Transportation|https://www.nasdaq.com/symbol/cmre,
CMRE^B|Costamare Inc.|22.25|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cmre^b,
CMRE^C|Costamare Inc.|22.2796|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cmre^c,
CMRE^D|Costamare Inc.|22.47|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cmre^d,
CMRE^E|Costamare Inc.|22.76|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cmre^e,
COT|Cott Corporation|14.85|2045246053.95|n/a|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/cot,
COTY|Coty Inc.|7.34|5512891219.32|n/a|2013|Consumer Non-Durables|Package Goods/Cosmetics|https://www.nasdaq.com/symbol/coty,
CUZ|Cousins Properties Incorporated|8.69|3653143781.65|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cuz,
CVA|Covanta Holding Corporation|15.62|2047074429.62|n/a|n/a|Basic Industries|Electric Utilities: Central|https://www.nasdaq.com/symbol/cva,
CVIA|Covia Holdings Corporation|4.99|654620445.38|n/a|2018|Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|https://www.nasdaq.com/symbol/cvia,
CPF|CPB Inc.|26.71|779195632.01|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/cpf,
CPL|CPFL Energia S.A.|16.56|8428334096.88|n/a|2004|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/cpl,
CR|Crane Co.|79.14|4704798212.7|n/a|n/a|Capital Goods|Metal Fabrications|https://www.nasdaq.com/symbol/cr,
CRD.A|Crawford & Company|n/a|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/crd.a,
CRD.B|Crawford & Company|n/a|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/crd.b,
BAP|Credicorp Ltd.|236.57|18869059770|n/a|n/a|Finance|Commercial Banks|https://www.nasdaq.com/symbol/bap,
CS|Credit Suisse Group|12.35|31521741379.05|n/a|n/a|Finance|Investment Bankers/Brokers/Service|https://www.nasdaq.com/symbol/cs,
CPG|Crescent Point Energy Corporation|2.93|1611087822.25|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/cpg,
CEQP|Crestwood Equity Partners LP|32.56|2318928735.2|n/a|n/a|Consumer Services|Other Consumer Services|https://www.nasdaq.com/symbol/ceqp,
CRH|CRH PLC|29.31|23848135195.92|n/a|n/a|Capital Goods|Building Materials|https://www.nasdaq.com/symbol/crh,
CRT|Cross Timbers Royalty Trust|12.3|73800000|n/a|1992|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/crt,
CAPL|CrossAmerica Partners LP|17.43|600360889.59|n/a|2012|Energy|Oil Refining/Marketing|https://www.nasdaq.com/symbol/capl,
CCI|Crown Castle International Corporation|114.38|47450593555.96|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cci,
CCI^A|Crown Castle International Corporation|1080.9|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cci^a,
CCK|Crown Holdings, Inc.|49.01|6625670084.67|n/a|n/a|Consumer Durables|Containers/Packaging|https://www.nasdaq.com/symbol/cck,
CRY|CryoLife, Inc.|26.99|997752986.94|n/a|n/a|Health Care|Medical/Dental Instruments|https://www.nasdaq.com/symbol/cry,
CSS|CSS Industries, Inc.|8.95|79081305|n/a|n/a|Consumer Services|Consumer: Greeting Cards|https://www.nasdaq.com/symbol/css,
CTS|CTS Corporation|27.88|922466758.84|n/a|n/a|Technology|Electrical Products|https://www.nasdaq.com/symbol/cts,
CUBE|CubeSmart|29.91|5572428402.03|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/cube,
CUB|Cubic Corporation|63.84|1987530145.44|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/cub,
CFR|Cullen/Frost Bankers, Inc.|99.92|6389291074.72|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/cfr,
CFR^A|Cullen/Frost Bankers, Inc.|24.86|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cfr^a,
CULP|Culp, Inc.|18.45|230476588.2|n/a|n/a|Basic Industries|Textiles|https://www.nasdaq.com/symbol/culp,
CMI|Cummins Inc.|142.82|22931365294.46|n/a|n/a|Energy|Industrial Machinery/Components|https://www.nasdaq.com/symbol/cmi,
CURO|CURO Group Holdings Corp.|12.24|562954111.92|n/a|2017|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/curo,
CW|Curtiss-Wright Corporation|112.28|4916764441.96|n/a|n/a|Technology|Industrial Machinery/Components|https://www.nasdaq.com/symbol/cw,
SRF|Cushing Energy Income Fund (The)|7.27|17993170.03|n/a|2012|n/a|n/a|https://www.nasdaq.com/symbol/srf,
SRV|Cushing MLP & Infrastructure Total Return Fund|9.67|65120700.34|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/srv,
SZC|Cushing Renaissance Fund (The)|16|124882288|n/a|2012|n/a|n/a|https://www.nasdaq.com/symbol/szc,
CWK|Cushman & Wakefield plc|15.58|3366013849.16|n/a|2018|Finance|Real Estate|https://www.nasdaq.com/symbol/cwk,
CUBI|Customers Bancorp, Inc|20.17|624702597.73|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/cubi,
CUBI^C|Customers Bancorp, Inc|25.5496|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cubi^c,
CUBI^D|Customers Bancorp, Inc|25.6|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cubi^d,
CUBI^E|Customers Bancorp, Inc|25.71|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cubi^e,
CUBI^F|Customers Bancorp, Inc|25.28|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/cubi^f,
CVI|CVR Energy Inc.|38.33|3853337859.67|n/a|2007|Energy|Integrated oil Companies|https://www.nasdaq.com/symbol/cvi,
UAN|CVR Partners, LP|3.55|402154554.15|n/a|2011|Basic Industries|Agricultural Chemicals|https://www.nasdaq.com/symbol/uan,
CVS|CVS Health Corporation|65.24|84368307979.2|n/a|n/a|Health Care|Medical/Nursing Services|https://www.nasdaq.com/symbol/cvs,
CELP|Cypress Energy Partners, L.P.|8.05|96165622|n/a|2014|Energy|Oilfield Services/Equipment|https://www.nasdaq.com/symbol/celp,
DHI|D.R. Horton, Inc.|36.39|13593900910.77|n/a|n/a|Capital Goods|Homebuilding|https://www.nasdaq.com/symbol/dhi,
DAN|Dana Incorporated|17.43|2521472499.42|n/a|n/a|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/dan,
DHR|Danaher Corporation|106.03|74316713599.09|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/dhr,
DAC|Danaos Corporation|0.8322|177528611.451|n/a|2006|Transportation|Marine Transportation|https://www.nasdaq.com/symbol/dac,
DQ|DAQO New Energy Corp.|34.69|446245603.59|n/a|2010|Technology|Semiconductors|https://www.nasdaq.com/symbol/dq,
DRI|Darden Restaurants, Inc.|107.37|13261169597.49|n/a|n/a|Consumer Services|Restaurants|https://www.nasdaq.com/symbol/dri,
DAR|Darling Ingredients Inc.|20.98|3454523329.44|n/a|n/a|Consumer Non-Durables|Packaged Foods|https://www.nasdaq.com/symbol/dar,
DVA|DaVita Inc.|56.07|9307620000|n/a|n/a|Health Care|Hospital/Nursing Management|https://www.nasdaq.com/symbol/dva,
DCP|DCP Midstream LP|32.77|4696508838.56|n/a|n/a|Public Utilities|Natural Gas Distribution|https://www.nasdaq.com/symbol/dcp,
DCP^B|DCP Midstream LP|23.94|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dcp^b,
DCP^C|DCP Midstream LP|23.84|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dcp^c,
DF|Dean Foods Company|4.32|394850255.04|n/a|n/a|Consumer Non-Durables|Packaged Foods|https://www.nasdaq.com/symbol/df,
DECK|Deckers Outdoor Corporation|125.99|3669107111.91|n/a|1993|Consumer Non-Durables|Shoe Manufacturing|https://www.nasdaq.com/symbol/deck,
DE|Deere & Company|156.49|50058121979.56|n/a|n/a|Capital Goods|Industrial Machinery/Components|https://www.nasdaq.com/symbol/de,
DEX|Delaware Enhanced Global Dividend|9.27|117388206.99|n/a|2007|n/a|n/a|https://www.nasdaq.com/symbol/dex,
DDF|Delaware Investments Dividend & Income Fund, Inc.|12.28|94410592.52|n/a|1993|n/a|n/a|https://www.nasdaq.com/symbol/ddf,
DKL|Delek Logistics Partners, L.P.|30.1|734295008.3|n/a|2012|Energy|Natural Gas Distribution|https://www.nasdaq.com/symbol/dkl,
DK|Delek US Holdings, Inc.|30.25|2478939493.25|n/a|2017|Energy|Integrated oil Companies|https://www.nasdaq.com/symbol/dk,
DELL|Dell Technologies Inc.|46.9|33694582974.5|n/a|2018|Technology|Computer Manufacturing|https://www.nasdaq.com/symbol/dell,
DLPH|Delphi Technologies PLC|17.31|1531795879.53|n/a|2017|Capital Goods|Auto Parts:O.E.M.|https://www.nasdaq.com/symbol/dlph,
DAL|Delta Air Lines, Inc.|48.01|32916553835.01|n/a|n/a|Transportation|Air Freight/Delivery Services|https://www.nasdaq.com/symbol/dal,
DLX|Deluxe Corporation|47.36|2112256000|n/a|n/a|Consumer Durables|Publishing|https://www.nasdaq.com/symbol/dlx,
DNR|Denbury Resources Inc.|1.97|907095772.79|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/dnr,
DESP|Despegar.com, Corp.|15.03|1039497585.48|n/a|2017|Consumer Services|Transportation Services|https://www.nasdaq.com/symbol/desp,
DKT|Deutsch Bk Contingent Cap Tr V|25.21|0|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/dkt,
DB|Deutsche Bank AG|9.27|19141623000|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/db,
DXB|Deutsche Bank AG|24.42|0|n/a|n/a|Finance|Major Banks|https://www.nasdaq.com/symbol/dxb,
DVN|Devon Energy Corporation|26.5|12407300000|n/a|n/a|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/dvn,
DHX|DHI Group, Inc.|2.07|109483237.71|n/a|2007|Miscellaneous|Business Services|https://www.nasdaq.com/symbol/dhx,
DHT|DHT Holdings, Inc.|4.03|578677948.29|n/a|2005|Transportation|Marine Transportation|https://www.nasdaq.com/symbol/dht,
DEO|Diageo plc|142.85|86338326010.7|n/a|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|https://www.nasdaq.com/symbol/deo,
DO|Diamond Offshore Drilling, Inc.|10.97|1507658680.94|n/a|1995|Energy|Oil & Gas Production|https://www.nasdaq.com/symbol/do,
DRH|Diamondrock Hospitality Company|9.97|2072970814.68|n/a|2005|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/drh,
DSX|Diana Shipping inc.|3.01|312330696.51|n/a|2005|Transportation|Marine Transportation|https://www.nasdaq.com/symbol/dsx,
DSX^B|Diana Shipping inc.|23|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dsx^b,
DKS|Dick&#39;s Sporting Goods Inc|34.84|3424873245.04|n/a|2002|Consumer Services|Other Specialty Stores|https://www.nasdaq.com/symbol/dks,
DBD|Diebold Nixdorf Incorporated|4.17|317438189.22|n/a|n/a|Miscellaneous|Office Equipment/Supplies/Services|https://www.nasdaq.com/symbol/dbd,
DLR|Digital Realty Trust, Inc.|105.7|21804009831.1|n/a|2004|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/dlr,
DLR^C|Digital Realty Trust, Inc.|25.9|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dlr^c,
DLR^G|Digital Realty Trust, Inc.|24.84|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dlr^g,
DLR^H|Digital Realty Trust, Inc.|25.32|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dlr^h,
DLR^I|Digital Realty Trust, Inc.|25.86|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dlr^i,
DLR^J|Digital Realty Trust, Inc.|22.5083|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dlr^j,
DDS|Dillard&#39;s, Inc.|66.92|1776331172|n/a|n/a|Consumer Services|Department/Specialty Retail Stores|https://www.nasdaq.com/symbol/dds,
DDT|Dillard&#39;s, Inc.|26.141|0|n/a|n/a|Consumer Services|Department/Specialty Retail Stores|https://www.nasdaq.com/symbol/ddt,
DIN|Dine Brands Global, Inc.|78.37|1388123452.58|n/a|n/a|Consumer Services|Restaurants|https://www.nasdaq.com/symbol/din,
DPLO|Diplomat Pharmacy, Inc.|13.69|1019558328.13|n/a|2014|Health Care|Medical/Nursing Services|https://www.nasdaq.com/symbol/dplo,
DFS|Discover Financial Services|67.36|22296160000|n/a|n/a|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/dfs,
DNI|Dividend and Income Fund|10.79|133269102.72|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/dni,
DLB|Dolby Laboratories|63.27|6450432683.76|n/a|2005|Miscellaneous|Multi-Sector Companies|https://www.nasdaq.com/symbol/dlb,
DG|Dollar General Corporation|114.12|30000359853.72|n/a|2009|Consumer Services|Department/Specialty Retail Stores|https://www.nasdaq.com/symbol/dg,
D|Dominion Energy, Inc.|68.37|53087293212.75|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/d,
DCUD|Dominion Energy, Inc.|46.75|0|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dcud,
DRUA|Dominion Energy, Inc.|24.14|0|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/drua,
DPZ|Domino&#39;s Pizza Inc|279.79|11637767962.87|n/a|2004|Consumer Non-Durables|Food Distributors|https://www.nasdaq.com/symbol/dpz,
UFS|Domtar Corporation|44.54|2895149172.16|n/a|n/a|Basic Industries|Paper|https://www.nasdaq.com/symbol/ufs,
DCI|Donaldson Company, Inc.|46.72|5975086394.88|n/a|n/a|Capital Goods|Pollution Control Equipment|https://www.nasdaq.com/symbol/dci,
DFIN|Donnelley Financial Solutions, Inc.|14.45|492745000|n/a|2016|Consumer Services|Other Consumer Services|https://www.nasdaq.com/symbol/dfin,
LPG|Dorian LPG Ltd.|5.57|307278936.75|n/a|2014|Transportation|Marine Transportation|https://www.nasdaq.com/symbol/lpg,
DSL|DoubleLine Income Solutions Fund|18.93|1918552490.13|n/a|2013|n/a|n/a|https://www.nasdaq.com/symbol/dsl,
DBL|DoubleLine Opportunistic Credit Fund|19.38|287998951.26|n/a|2012|n/a|n/a|https://www.nasdaq.com/symbol/dbl,
PLOW|Douglas Dynamics, Inc.|34.57|784773258.87|n/a|2010|Capital Goods|Construction/Ag Equipment/Trucks|https://www.nasdaq.com/symbol/plow,
DEI|Douglas Emmett, Inc.|37.05|6296250916.8|n/a|2006|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/dei,
DOV|Dover Corporation|79.24|11595401087.76|n/a|n/a|Technology|Industrial Machinery/Components|https://www.nasdaq.com/symbol/dov,
DDE|Dover Downs Gaming & Entertainment Inc|2.63|87534842.3|n/a|n/a|Consumer Services|Hotels/Resorts|https://www.nasdaq.com/symbol/dde,
DVD|Dover Motorsports, Inc.|2|73304194|n/a|1996|Consumer Services|Services-Misc. Amusement & Recreation|https://www.nasdaq.com/symbol/dvd,
DWDP|DowDuPont Inc.|58.13|133364393024.08|n/a|2017|Basic Industries|Major Chemicals|https://www.nasdaq.com/symbol/dwdp,
RDY|Dr. Reddy&#39;s Laboratories Ltd|37.25|6185767072.25|n/a|n/a|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/rdy,
DRD|DRDGOLD Limited|2.04|142071671.04|n/a|n/a|Basic Industries|Precious Metals|https://www.nasdaq.com/symbol/drd,
DCF|Dreyfus Alcentra|8.28|123880176.72|n/a|2017|n/a|n/a|https://www.nasdaq.com/symbol/dcf,
DHF|Dreyfus High Yield Strategies Fund|2.93|213033525.84|n/a|1998|n/a|n/a|https://www.nasdaq.com/symbol/dhf,
DMB|Dreyfus Municipal Bond Infrastructure Fund, Inc.|12.43|228488023.83|n/a|2013|n/a|n/a|https://www.nasdaq.com/symbol/dmb,
DSM|Dreyfus Strategic Municipal Bond Fund, Inc.|7.34|362371829.06|n/a|1989|n/a|n/a|https://www.nasdaq.com/symbol/dsm,
LEO|Dreyfus Strategic Municipals, Inc.|7.62|472364036.22|n/a|1987|n/a|n/a|https://www.nasdaq.com/symbol/leo,
DRQ|Dril-Quip, Inc.|36.28|1297998303.48|n/a|1997|Energy|Metal Fabrications|https://www.nasdaq.com/symbol/drq,
DS|Drive Shack Inc.|4.39|294248986.56|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/ds,
DS^B|Drive Shack Inc.|25.38|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ds^b,
DS^C|Drive Shack Inc.|24.3713|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ds^c,
DS^D|Drive Shack Inc.|24.94|0|n/a|n/a|n/a|n/a|https://www.nasdaq.com/symbol/ds^d,
DSW|DSW Inc.|26.78|2151755030.62|n/a|2005|Consumer Services|Clothing/Shoe/Accessory Stores|https://www.nasdaq.com/symbol/dsw,
DTE|DTE Energy Company|114.1|20757645238.4|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dte,
DTJ|DTE Energy Company|24.6|0|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dtj,
DTQ|DTE Energy Company|24.53|0|n/a|n/a|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dtq,
DTV|DTE Energy Company|52.89|0|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dtv,
DTW|DTE Energy Company|23.84|0|n/a|2017|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dtw,
DTY|DTE Energy Company|26.58|0|n/a|2016|Public Utilities|Electric Utilities: Central|https://www.nasdaq.com/symbol/dty,
DCO|Ducommun Incorporated|39.4|449564913.8|n/a|n/a|Capital Goods|Military/Government/Technical|https://www.nasdaq.com/symbol/dco,
DPG|Duff & Phelps Global Utility Income Fund Inc.|13.75|521534832.5|n/a|2011|n/a|n/a|https://www.nasdaq.com/symbol/dpg,
DSE|Duff & Phelps Select MLP and Midstream Energy Fund|4.81|126063399.67|n/a|2014|n/a|n/a|https://www.nasdaq.com/symbol/dse,
DNP|Duff & Phelps Utilities Income, Inc.|11.09|3167356200.63|n/a|1987|n/a|n/a|https://www.nasdaq.com/symbol/dnp,
DTF|Duff & Phelps Utilities Tax-Free Income, Inc.|12.83|109320388.55|n/a|1991|n/a|n/a|https://www.nasdaq.com/symbol/dtf,
DUC|Duff & Phelps Utility & Corporate Bond Trust, Inc.|8.27|227381028.41|n/a|1993|n/a|n/a|https://www.nasdaq.com/symbol/duc,
DUK|Duke Energy Corporation|85.65|61057962842.7|n/a|n/a|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/duk,
DUKB|Duke Energy Corporation|24.85|0|n/a|2018|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/dukb,
DUKH|Duke Energy Corporation|24.51|0|n/a|n/a|Public Utilities|Power Generation|https://www.nasdaq.com/symbol/dukh,
DRE|Duke Realty Corporation|29.24|10477256507.44|n/a|n/a|Consumer Services|Real Estate Investment Trusts|https://www.nasdaq.com/symbol/dre,
DNB|Dun & Bradstreet Corporation (The)|144.53|5366578550.79|n/a|n/a|Finance|Finance: Consumer Services|https://www.nasdaq.com/symbol/dnb,
DXC|DXC Technology Company|62.92|17624749033.32|n/a|n/a|Technology|EDP Services|https://www.nasdaq.com/symbol/dxc,
DY|Dycom Industries, Inc.|60.04|1879056149.52|n/a|n/a|Basic Industries|Water Supply|https://www.nasdaq.com/symbol/dy,
